symbol,company_name,exchange
PGLD,P2 Gold Inc.,TSXV
HHH,Helius Minerals Limited,TSXV
EXN,Excellon Resources Inc.,TSXV
RUA,Rua Gold Inc.,TSX
NAU,Nevgold Corp.,TSXV
LGC,Lavras Gold Corp.,TSXV
MGM,Maple Gold Mines Ltd.,TSXV
FURY,Fury Gold Mines Limited,TSX
LG,Lahontan Gold Corp.,TSXV
FPC,Falco Resources Ltd.,TSXV
GGO,Galleon Gold Corp.,TSXV
ESM,Euro Sun Mining Inc.,TSX
EMO,Emerita Resources Corp.,TSXV
OMI,Orosur Mining Inc.,TSXV
SPA,Spanish Mountain Gold Ltd.,TSXV
ABI,Abcourt Mines Inc.,TSXV
SGN,Scorpio Gold Corporation,TSXV
CCM,Canagold Resources Ltd.,TSX
UGD,Unigold Inc.,TSXV
ECR,Cartier Resources Inc.,TSXV
TUO,Teuton Resources Corp.,TSXV
WVM,West Vault Mining Inc.,TSXV
ROCK,Trident Resources Corp.,TSXV
WM,Wallbridge Mining Company Limited,TSX
BRAU,Big Ridge Gold Corp.,TSXV
VIPR,Silver Viper Minerals Corp.,TSXV
YGT,Gold Terra Resource Corp.,TSXV
DEF,Defiance Silver Corp.,TSXV
ARG,Amerigo Resources Ltd.,TSX
NGEX,NGEx Minerals Ltd.,TSX
MARI,Marimaca Copper Corp.,TSX
TMQ,Trilogy Metals Inc.,TSX
OM,Osisko Metals Incorporated,TSX
MOON,Blue Moon Metals Inc.,TSXV
DBG,Doubleview Gold Corp.,TSXV
ETG,Entr??e Resources Ltd.,TSX
REG,Regulus Resources Inc.,TSXV
KRY,Koryx Copper Inc.,TSXV
SURG,Surge Copper Corp.,TSXV
ECU,Element 29 Resources Inc.,TSXV
GCU,Gunnison Copper Corp.,TSX
CGNT,Copper Giant Resources Corp.,TSXV
OCO,Oroco Resource Corp.,TSXV
SCMI,Selkirk Copper Mines Inc.,TSXV
VCU,Vizsla Copper Corp.,TSXV
NWST,NorthWest Copper Corp.,TSXV
EDCU,Edge Copper Corporation,TSXV
MSR,Minsud Resources Corp.,TSXV
ELBM,Electra Battery Materials Corporation,TSXV
KDK,Kodiak Copper Corp.,TSXV
RTG,RTG Mining Inc.,TSX
MMG,Metallic Minerals Corp.,TSXV
COR,Camino Minerals Corporation,TSXV
KCC,Kincora Copper Limited,TSXV
LAR,Lithium Argentina AG,TSX
LAC,Lithium Americas Corp.,TSX
SLI,Standard Lithium Ltd.,TSXV
PMET,PMET Resources Inc.,TSX
QTWO,Q2 Metals Corp.,TSXV
LIFT,Li-FT Power Ltd.,TSXV
LTH,Lithium Ionic Corp.,TSXV
FL,Frontier Lithium Inc.,TSXV
LI,American Lithium Corp.,TSXV
LITH,Lithium Chile Inc.,TSXV
RCK,Rock Tech Lithium Inc.,TSXV
ETL,E3 Lithium Limited,TSXV
CRE,Critical Elements Lithium Corporation,TSXV
PWM,Power Metals Corp.,TSXV
LCE,Century Lithium Corp.,TSXV
NOAL,NOA Lithium Brines Inc.,TSXV
LBNK,LithiumBank Resources Corp.,TSXV
BRW,Brunswick Exploration Inc.,TSXV
NVLH,Nevada Lithium Resources Inc.,TSXV
LIT,Argentina Lithium & Energy Corp.,TSXV
EDR,Endeavour Silver Corp.,TSX
ASM,Avino Silver & Gold Mines Ltd.,TSX
SCZ,Santacruz Silver Mining Ltd.,TSXV
APM,Andean Precious Metals Corp.,TSX
BOL,Bold Ventures Inc.,TSXV
NUAG,New Pacific Metals Corp.,TSX
SLVR,Silver Tiger Metals Inc.,TSXV
GSVR,Guanajuato Silver Company Ltd.,TSXV
SVRS,Silver Storm Mining Ltd.,TSXV
AGMR,Silver Mountain Resources Inc.,TSX
SVE,Silver One Resources Inc.,TSXV
APGO,Apollo Silver Corp.,TSXV
AGAG,Argenta Silver Corp.,TSXV
OCG,Outcrop Silver & Gold Corporation,TSX
KTN,Kootenay Silver Inc.,TSXV
AFM,Alphamin Resources Corp.,TSXV
ELO,Eloro Resources Ltd.,TSX
ADE,Adex Mining Inc.,TSXV
TK,Tinka Resources Limited,TSXV
AVL,Avalon Advanced Materials Inc.,TSX
TORC,TinOne Resources Inc.,TSXV
CCO,Cameco Corporation,TSX
EFR,Energy Fuels Inc.,TSX
URE,Ur-Energy Inc.,TSX
EU,enCore Energy Corp.,TSXV
NXE,NexGen Energy Ltd.,TSX
DML,Denison Mines Corp.,TSX
ISO,IsoEnergy Ltd.,TSX
GLO,Global Atomic Corporation,TSX
SASK,Atha Energy Corp.,TSXV
MGA,Mega Uranium Ltd.,TSX
LAM,Laramide Resources Ltd.,TSX
AEC,Anfield Energy Inc.,TSXV
FUU,F3 Uranium Corp.,TSXV
SYH,Skyharbour Resources Ltd.,TSXV
DMX,District Metals Corp.,TSXV
FSY,Forsys Metals Corp.,TSX
MD,Midland Exploration Inc.,TSXV
FTUR,Future Fuels Inc.,TSXV
HLU,Homeland Uranium Corp.,TSXV
LMS,Latin Metals Inc.,TSXV
BSK,Blue Sky Uranium Corp.,TSXV
DPM,DPM Metals Inc.,TSX
