symbol,company_name,exchange,website,presentation_url,pdf_url,local_path,r2_url,found_via,score,file_size_kb,last_checked,error
FSY,Forsys Metals Corp.,TSX,https://www.forsysmetals.com,https://www.forsysmetals.com/corporate-presentations/,https://www.forsysmetals.com/wp-content/uploads/2026/02/ForsysCorporatePresentation-FEBRUARY-2026.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FSY\pdfs\Presentations\ForsysCorporatePresentation-FEBRUARY-2026.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FSY/ForsysCorporatePresentation-FEBRUARY-2026.pdf,path_probe,120,4649,2026-04-03T18:05:36.079775,
FF,First Mining Gold Corp.,TSX,http://www.firstmininggold.com,https://firstmininggold.com/investors/overview/,https://firstmininggold.com/_resources/presentations/corporate-presentation.pdf?v=040310,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FF\pdfs\Presentations\2026-04-03_corporate-presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FF/2026-04-03_corporate-presentation.pdf,sitemap,65,7597,2026-04-03T18:05:24.612361,
GAU,Galiano Gold Inc.,TSX,https://www.galianogold.com,,,,,not_found,0,0,2026-04-03T18:05:48.365467,
DPM,DPM Metals Inc.,TSX,https://www.dundeeprecious.com,,,,,not_found,0,0,2026-04-03T18:04:51.087251,
GGD,GoGold Resources Inc.,TSX,https://www.gogoldresources.com,,,,,not_found,0,0,2026-04-03T18:05:49.353755,
GCU,Gunnison Copper Corp,TSX,https://www.gunnisoncopper.com,https://www.gunnisoncopper.com/,https://www.gunnisoncopper.com/images/pdf/Presentation/2026/20260401-GunnisonCuCorporatePresentation_April2026-Final.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GCU\pdfs\Presentations\20260401-GunnisonCuCorporatePresentation_April2026-Final.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GCU/20260401-GunnisonCuCorporatePresentation_April2026-Final.pdf,path_probe,140,4334,2026-04-03T18:05:48.602071,
GLO,Global Atomic Corporation,TSX,https://www.globalatomiccorp.com,,,,,not_found,0,0,2026-04-03T18:05:55.717735,
FDY,Faraday Copper Corp.,TSX,https://www.faradaycopper.com,,,,,not_found,0,0,2026-04-03T18:05:21.659798,
GMIN,G Mining Ventures Corp.,TSX,https://www.gminingventures.com,,,,,not_found,0,0,2026-04-03T18:05:58.036819,
FVL,Freegold Ventures Limited,TSX,https://www.freegoldventures.com,https://freegoldventures.com:443/,https://freegoldventures.com:443/site/assets/files/6482/fvldec_31_2025mdafinalmarch_30-_2026.pdf,,,path_probe,45,433,2026-04-03T18:05:40.734070,
